tau,t_phys,p_inlet,p_outlet,q_outlet,w_center,w_monitor,volume,power,w_max_abs
2.150000000000e+00,1.140209684663e-04,5.000000000000e+03,5.504833582870e+03,-3.688923357451e-06,3.621438485584e-05,3.621438485584e-05,3.304999678023e-10,-1.844461678725e-02,3.621438485584e-05
2.175000000000e+00,1.153467936811e-04,5.000000000000e+03,5.475243782026e+03,-3.472704565401e-06,3.571505783148e-05,3.571505783148e-05,3.258957685262e-10,-1.736352282700e-02,3.571505783148e-05
2.200000000000e+00,1.166726188958e-04,5.000000000000e+03,5.445015403493e+03,-3.251819554153e-06,3.521840489572e-05,3.521840489572e-05,3.215844241676e-10,-1.625909777077e-02,3.521840489572e-05
2.225000000000e+00,1.179984441105e-04,5.000000000000e+03,5.414422561754e+03,-3.028271334919e-06,3.472522531618e-05,3.472522531618e-05,3.175694656747e-10,-1.514135667459e-02,3.472522531618e-05
2.250000000000e+00,1.193242693252e-04,5.000000000000e+03,5.383715543529e+03,-2.803888804494e-06,3.423657641186e-05,3.423657641186e-05,3.138519991984e-10,-1.401944402247e-02,3.423657641186e-05
2.275000000000e+00,1.206500945400e-04,5.000000000000e+03,5.353118425878e+03,-2.580309340283e-06,3.375378630981e-05,3.375378630981e-05,3.104309600133e-10,-1.290154670142e-02,3.375378630981e-05
2.300000000000e+00,1.219759197547e-04,5.000000000000e+03,5.322827683313e+03,-2.358968622168e-06,3.327846190393e-05,3.327846190393e-05,3.073033799333e-10,-1.179484311084e-02,3.327846190393e-05
2.325000000000e+00,1.233017449694e-04,5.000000000000e+03,5.293011715376e+03,-2.141097180406e-06,3.281249101009e-05,3.281249101009e-05,3.044646593043e-10,-1.070548590203e-02,3.281249101009e-05
2.350000000000e+00,1.246275701841e-04,5.000000000000e+03,5.263811193973e+03,-1.927722933705e-06,3.235803772567e-05,3.235803772567e-05,3.019088356318e-10,-9.638614668525e-03,3.235803772567e-05
2.375000000000e+00,1.259533953989e-04,5.000000000000e+03,5.235340107763e+03,-1.719678820763e-06,3.191753007046e-05,3.191753007046e-05,2.996288420900e-10,-8.598394103817e-03,3.191753007046e-05
2.400000000000e+00,1.272792206136e-04,5.000000000000e+03,5.207687368864e+03,-1.517614540804e-06,3.149363911703e-05,3.149363911703e-05,2.976167504656e-10,-7.588072704020e-03,3.149363911703e-05
2.425000000000e+00,1.286050458283e-04,5.000000000000e+03,5.180918844285e+03,-1.322011397681e-06,3.108924901760e-05,3.108924901760e-05,2.958639944204e-10,-6.610056988404e-03,3.108924901760e-05
2.450000000000e+00,1.299308710430e-04,5.000000000000e+03,5.155079679388e+03,-1.133199277881e-06,3.070741760212e-05,3.070741760212e-05,2.943615702445e-10,-5.665996389406e-03,3.070741760212e-05
2.475000000000e+00,1.312566962578e-04,5.000000000000e+03,5.130196791618e+03,-9.513748727520e-07,3.035132755481e-05,3.035132755481e-05,2.931002134495e-10,-4.756874363760e-03,3.035132755481e-05
2.500000000000e+00,1.325825214725e-04,5.000000000000e+03,5.106281427949e+03,-7.766203662512e-07,3.002422856509e-05,3.002422856509e-05,2.920705505857e-10,-3.883101831256e-03,3.002422856509e-05
2.525000000000e+00,1.339083466872e-04,5.000000000000e+03,5.083331697125e+03,-6.089219385786e-07,2.972937127897e-05,2.972937127897e-05,2.912632265257e-10,-3.044609692893e-03,2.972937127897e-05
2.550000000000e+00,1.352341719019e-04,5.000000000000e+03,5.061335006352e+03,-4.481875715808e-07,2.946993432868e-05,2.946993432868e-05,2.906690081424e-10,-2.240937857904e-03,2.946993432868e-05
