N,prob,se,qin_m3_s
266,0.6578947368421053,0.029088227993646923,2.006078854777224e-05
267,0.6591760299625468,0.029007489119860244,4.715529128631648e-06
268,0.6567164179104478,0.029003342856568512,1.6003363272068123e-05
269,0.654275092936803,0.028998089649893737,2.030427946655208e-05
270,0.6555555555555556,0.02891894606038942,5.6007853447164645e-06
271,0.6568265682656826,0.028840151611370275,5.187487429636025e-06
272,0.6580882352941176,0.02876170540876458,5.163677154259062e-06
273,0.6593406593406593,0.028683606521498668,5.138604603347126e-06
274,0.6605839416058394,0.028605853983244445,5.109278825557391e-06
275,0.6581818181818182,0.02860251180303094,1.784824417852726e-05
276,0.6594202898550725,0.028525679454527997,5.226417002180755e-06
277,0.6570397111913358,0.028521859949486632,1.9129409883064975e-05
278,0.6546762589928058,0.028517018451816815,1.737116957116413e-05
279,0.6559139784946236,0.028441654501601202,5.16463109522345e-06
280,0.6571428571428571,0.02836661282268417,5.3385234654992545e-06
281,0.6548042704626335,0.02836189852090437,1.7673214174962513e-05
282,0.6560283687943262,0.028287728094521493,5.186519665871761e-06
283,0.6537102473498233,0.02828259462133356,1.7096424749159896e-05
284,0.6514084507042254,0.02827651946424422,1.7296628589178415e-05
285,0.6491228070175439,0.028269529093764317,1.9437884298038702e-05
286,0.6503496503496503,0.028197293343283775,5.431026784186057e-06
287,0.6515679442508711,0.02812535145893077,3.058161601744509e-06
288,0.6527777777777778,0.02805370287856672,5.608338363057941e-06
289,0.6539792387543253,0.02798234700766847,5.564709489960451e-06
290,0.6517241379310345,0.02797657800973475,1.6985284559893512e-05
291,0.6494845360824743,0.02796993805163674,1.7937719559834393e-05
292,0.6472602739726028,0.027962451077079446,1.7390358694784874e-05
293,0.6450511945392492,0.027954140343250763,2.018189153187214e-05
294,0.6462585034013606,0.027885117222750038,3.202940288960065e-06
295,0.6474576271186441,0.027816361982000652,4.850828119573562e-06
296,0.6452702702702703,0.027808256878007514,1.8694014175977904e-05
297,0.6430976430976431,0.02779936925742692,1.4219799322221294e-05
298,0.6442953020134228,0.027731869693564767,3.207271475430995e-06
299,0.6421404682274248,0.027722712474252256,1.6040081725741892e-05
300,0.6433333333333333,0.027655955088404592,4.961640550464706e-06
301,0.6445182724252492,0.02758944794044533,5.658179501602688e-06
302,0.6423841059602649,0.027580512265981582,2.0809371853464087e-05
303,0.6435643564356436,0.027514729062514183,3.078665350445649e-06
304,0.6447368421052632,0.02744919029444005,3.0853774798099624e-06
305,0.6459016393442623,0.02738389568836045,4.973438623510879e-06
306,0.6470588235294118,0.027318844941930823,4.997284270175028e-06
307,0.6482084690553745,0.027254037724960264,3.081522928080228e-06
308,0.6493506493506493,0.0271894736804748,5.519274641362399e-06
309,0.6472491909385113,0.02718257078697391,1.5227350598851066e-05
310,0.6483870967741936,0.02711869189388097,5.348787969412379e-06
311,0.6463022508038585,0.027111515061056028,1.9034761279364215e-05
312,0.6474358974358975,0.027048310065420002,5.32033687429829e-06
313,0.645367412140575,0.027040870468220516,2.0839059637278983e-05
314,0.6464968152866242,0.02697832835796268,5.350264550565693e-06
315,0.6476190476190476,0.026916013807800947,2.9490629177590448e-06
316,0.6455696202531646,0.02690874673448628,1.643432494485546e-05
317,0.6466876971608833,0.02684707948104068,5.412676619284467e-06
318,0.6477987421383647,0.026785634692057296,3.0602397550636794e-06
319,0.6489028213166145,0.026724412061117264,5.154454222597904e-06
320,0.646875,0.026717722019698367,1.897501588756517e-05
321,0.6448598130841121,0.026710378964039515,1.729134093836089e-05
322,0.6459627329192547,0.02665018852547387,5.25081215753318e-06
